"Idiom","Pinyin","Letter","Explanation","Synonym"
"傲睨自若","ào nì zì ruò","ao ni zi ruo","睨：斜视。自若：指满不在乎。形容自高自大、藐视一切的样子。",""
"熬清受淡","áo qīng shòu dàn","ao qing shou dan","指忍受清苦乏味的生活。",""
"熬清守淡","áo qīng shǒu dàn","ao qing shou dan","忍受清苦乏味的生活。",""
"熬清守谈","áo qīng shǒu tán","ao qing shou tan","忍受清苦乏味的生活。",""
"傲然挺立","ào rán tǐng lì","ao ran ting li","傲然坚强不屈的样子。挺立像山峰一样高高地耸立。形容坚强而不可动摇。",""
"傲然屹立","ào rán yì lì","ao ran yi li","形容坚定，不可动摇地站立着。",""
"敖世轻物","áo shì qīng wù","ao shi qing wu","敖，通傲”。鄙弃世俗，看不起别人。也指高傲自大。",""
"傲世轻物","ào shì qīng wù","ao shi qing wu","物：他人或环境。鄙弃世俗，看不起别人。也指高傲自大。",""
"傲霜斗雪","ào shuāng dòu xuě","ao shuang dou xue","傲视寒霜，抗击白雪。形容不畏严寒。比喻人身处逆境而不屈服。",""
"傲头傲脑","ào tóu ào nǎo","ao tou ao nao","形容倔强、桀骜不驯的样子。",""
"鳌头独占","áo tóu dú zhàn","ao tou du zhan","比喻占首位或第一名。",""
"遨翔自得","áo xiáng zì dé","ao xiang zi de","指自由自在的样子。",""
"傲贤慢士","ào xián màn shì","ao xian man shi","贤：有才德的人。士：读书人和有才干的人。用傲慢的态度对待有德有才的人。",""
"熬心费力","áo xīn fèi lì","ao xin fei li","耗费心神和气力。",""
"傲雪凌霜","ào xuě líng shuāng","ao xue ling shuang","形容不畏霜雪严寒，外界条件越艰苦越有精神。比喻经过长期磨练，面对冷酷迫害或打击毫不示弱、无所畏惧。傲，傲慢、蔑视。",""
"傲雪欺霜","ào xuě qī shuāng","ao xue qi shuang","形容不畏霜雪严寒，外界条件越艰苦越有精神。比喻经过长期磨练，面对冷酷迫害或打击毫不示弱、无所畏惧。傲，傲慢、蔑视。",""
"聱牙诘屈","áo yá jié qū","ao ya jie qu","聱牙不顺口；诘屈曲折。形容文辞艰涩难读。",""
"聱牙诘曲","áo yá jié qū","ao ya jie qu","聱牙不顺口；诘曲曲折。指文章读起来不顺口。",""
"謷牙诘屈","áo yá jié qū","ao ya jie qu","同诘屈聱牙”。謷，通聱”。诘屈同佶屈”，曲折，引申为不顺畅；謷牙读起来拗口、别扭。形容文字晦涩艰深，难懂难读。",""
"聱牙佶屈","áo yá jí qū","ao ya ji qu","聱牙不顺口；佶屈曲折。指文章读起来不顺口。",""
"聱牙戟口","áo yá jǐ kǒu","ao ya ji kou","形容文词艰涩，拗口难读。",""
"熬油费火","áo yóu fèi huǒ","ao you fei huo","指耗费灯油。多指日夜忙碌。",""
"奥援有灵","ào yuán yǒu líng","ao yuan you ling","奥援暗中支持的力量；有灵有神通。多指旧时官场的钻营、勾结，暗通关节，很有神通。",""
"鳌掷鲸呿","áo zhì jīng qù","ao zhi jing qu","比喻文辞气势磅礴，跌宕起伏。同鳌掷鲸吞”。",""
"鳌掷鲸吞","áo zhì jīng tūn","ao zhi jing tun","比喻文辞气势磅礴，跌宕起伏。亦作鳌掷鲸呿”。",""
"阿毗地狱","ā pí dì yù","a pi di yu","阿毗梵语的译音，意译为无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。",""
"阿平绝倒","ā píng jué dǎo","a ping jue dao","以之比喻对对方的言论极为佩服。亦用为讥讽言论极为乖谬，常贻笑大方。",""
"八拜之交","bā bài zhī jiāo","ba bai zhi jiao","八拜：原指古代世交子弟谒见长辈的礼节；交：友谊。旧时朋友结为兄弟的关系。",""
"巴巴劫劫","bā bā jié jié","ba ba jie jie","指心情急切的样子。",""
"巴巴结结","bā bā jiē jiē","ba ba jie jie","①勉强，凑合。②勤恳；辛劳。③形容说话不流利。",""
"巴巴急急","bā bā jí jí","ba ba ji ji","指勉强，凑合。同巴巴结结”。",""
"拔本塞原","bá běn sè yuán","ba ben se yuan","①比喻背弃根本。②铲除事物发生的根源。多用于坏事。亦作拔本塞源”。",""
"拔本塞源","bá běn sè yuán","ba ben se yuan","本：根本，根源。拔起树根，塞住水源。比喻防患除害要从根本上打主意。",""
"八百孤寒","bā bǎi gū hán","ba bai gu han","八百：形容很多；孤寒：指贫寒的读书人。许许多多贫寒的读书人。",""
"八窗玲珑","bā chuāng líng lóng","ba chuang ling long","①指四壁窗户轩敞，室内通彻明亮。②比喻通达明澈的修养境界。",""
"罢黜百家","bā chù bǎi jiā","ba chu bai jia","罢黜：废弃不用。原指排除诸子杂说，专门推行儒家学说。也比喻只要一种形式，不要其他形式。",""
"拔丛出类","bá cóng chū lèi","ba cong chu lei","犹言拔萃出类。指高出众人。",""
"拔萃出类","bá cuì chū lèi","ba cui chu lei","同出类拔萃”。指高出众人。",""
"拔萃出群","bá cuì chū qún","ba cui chu qun","拔：超出。萃：原谓草丛生的样子，引伸为聚集，指聚集在一处的人或物。超出一般，在众人之上。",""
"霸道横行","bà dào héng xíng","ba dao heng xing","犹言横行霸道。指依仗权势为非作歹。",""
"拔刀相向","bá dāo xiāng xiàng","ba dao xiang xiang","指动武。",""
"拔刀相助","bá dāo xiāng zhù","ba dao xiang zhu","旧小说中多指打抱不平。",""
"拔地参天","bá dì cān tiān","ba di can tian","拔地从地面上陡然耸立。参天高耸到空中。形容高大和气势雄伟。同拔地倚天”。",""
"拔地摇山","bá dì yáo shān","ba di yao shan","翻动大地，摇撼山岳。形容声势极大。",""
"拔地倚天","bá dì yǐ tiān","ba di yi tian","拔：突出，耸出。倚：倚傍，贴近。从地面突兀而起，贴近天际。比喻高大突出，气势雄伟。",""
"拔丁抽楔","bá dīng chōu xiē","ba ding chou xie","拔出钉子，抽掉楔子。比喻解除困难。",""
"八斗之才","bā dǒu zhī cái","ba dou zhi cai","才：才华。比喻人极有才华。",""
"八方风雨","bā fāng fēng yǔ","ba fang feng yu","四面八方风雨聚会。比喻形势骤然变幻，动荡不安。",""
"八方呼应","bā fāng hū yìng","ba fang hu ying","呼应：彼此声气相通。泛指周围、各地。形容各方面互通声气，互相配合。",""
"八方支持","bā fāng zhī chí","ba fang zhi chi","形容各方面都支持、援助。",""
"八方支援","bā fāng zhī yuán","ba fang zhi yuan","形容各方面都支持、援助。",""
"八府巡按","bā fǔ xún àn","ba fu xun an","巡按之名，起于明代，非固定职官，临时由朝廷委派监察御史担任，分别巡视各省，考核吏治。八府巡按”常见于戏曲、小说，民间多视为清廉而有权势的大官。",""
"扒高踩低","bā gāo cǎi dī","ba gao cai di","比喻对上奉承攀附，对下欺侮压制。",""
"巴高望上","bā gāo wàng shàng","ba gao wang shang","指与社会地位高于自己的人结交或联姻。",""
"巴高枝儿","bā gāo zhī ér","ba gao zhi er","比喻高攀。",""
"拔锅卷席","bá guō juǎn xí","ba guo juan xi","①比喻带走全部家当。②犹言卷铺盖。比喻被解雇。",""
"八纮同轨","bā hóng tóng guǐ","ba hong tong gui","指天下一统。八纮，指八方极远之地。",""
"八荒之外","bā huāng zhī wài","ba huang zhi wai","八面荒远的地方以外。形容极其旷远。",""
"跋扈飞扬","bá hù fēi yáng","ba hu fei yang","指骄横放肆。",""
"跋胡痜尾","bá hú zhì wěi","ba hu zhi wei","比喻进退两难。",""
"跋扈恣睢","bá hù zì suī","ba hu zi sui","指专横强暴，为所欲为。",""
"跋扈自恣","bá hù zì zì","ba hu zi zi","形容为所欲为，无所忌惮。",""
"白白朱朱","bái bái zhū zhū","bai bai zhu zhu","白的白，红的红。形容不同种类、色彩各异的花木。",""
"白璧青蝇","bái bì qīng yíng","bai bi qing ying","白璧：洁白的玉，比喻清白的人。青蝇：比喻佞人。比喻善恶忠佞。",""
"白璧三献","bái bì sān xiàn","bai bi san xian","楚人和氏得玉璞，两献楚王，两遭刖足。第三次王使治璞，得白玉，琢以为璧，世称和氏璧”。比喻不识良材或怀才不遇。",""
"白璧微瑕","bái bì wēi xiá","bai bi wei xia","洁白的玉上有些小斑点。比喻很好的人或物有些小缺点，美中不足。",""
"白璧无瑕","bái bì wú xiá","bai bi wu xia","洁白的美玉上面没有一点小斑。比喻人或事物完美无缺。",""
"败不旋踵","bài bù xuán zhǒng","bai bu xuan zhong","形容很快就遭到失败。旋踵，转动一下脚后跟。",""
"败材伤锦","bài cái shāng jǐn","bai cai shang jin","比喻用非其人，伤害国家。",""
"白齿青眉","bái chǐ qīng méi","bai chi qing mei","指青少年时期。",""
"拜赐之师","bài cì zhī shī","bai ci zhi shi","用以讽刺为复仇而又失败的出兵。",""
"白草黄云","bái cǎo huáng yún","bai cao huang yun","形容边塞秋季的荒凉景象。",""
"败德辱行","bài dé rǔ xíng","bai de ru xing","败坏道德和操守。",""
"白藋同心","bái diào tóng xīn","bai diao tong xin","犹言心如野草。形容不羡荣华的品节。",""
"白丁俗客","bái dīng sú kè","bai ding su ke","白丁：没有功名的平民。泛指粗俗之辈。",""
"拜倒辕门","bài dǎo yuán mén","bai dao yuan men","辕门：将帅行辕或军营的大门。形容对别人佩服之至，自愿认输。",""
"拜恩私室","bài ēn sī shì","bai en si shi","指感谢有权势的人的推荐提拔。",""
"白发苍苍","bái fà cāng cāng","bai fa cang cang","苍苍灰白色。头发灰白。形容人的苍老。",""
"白发苍颜","bái fà cāng yán","bai fa cang yan","头发已白，脸色灰暗。形容老人的容貌。",""
"白发丹心","bái fà dān xīn","bai fa dan xin","丹心赤诚之心。形容年迈苍老，仍然怀有一颗赤诚之心。",""
"白发红颜","bái fà hóng yán","bai fa hong yan","头发斑白而脸色红润。形容老年人容光焕发的样子。",""
"白饭青刍","bái fàn qīng chú","bai fan qing chu","白饭供客，青草喂马。比喻主人招待周到。",""
"白发千丈","bái fà qiān zhàng","bai fa qian zhang","形容头发既白且长，表示人因愁思过重而容颜衰老。",""
"白发青衫","bái fà qīng shān","bai fa qing shan","青衫：无功名者的服饰。谓年老而功名未就。",""
"白发朱颜","bái fà zhū yán","bai fa zhu yan","颜脸色。头发斑白，脸色通红。形容老人容光焕发。",""
"败法乱纪","bài fǎ luàn jì","bai fa luan ji","败坏法令，扰乱纪律。",""
"白骨露野","bái gǔ lù yě","bai gu lu ye","露暴露。死人的白骨暴露在野外。形容战争或灾难所赞成的悲剧景象。",""
"稗官小说","bài guān xiǎo shuō","bai guan xiao shuo","即野史小说，街谈巷说之言。",""
"稗官野史","bài guān yě shǐ","bai guan ye shi","稗官：古代的一种小官，专给帝王搜集街谈巷语，道听途说，以供省览，后称小说或小说家为稗官。指旧时的小说和私人编撰的史书。",""
"败国丧家","bài guó sàng jiā","bai guo sang jia","使国家沦亡，家庭败落。",""
"败国亡家","bài guó wáng jiā","bai guo wang jia","使国家沦亡，家庭败落。",""
"拜鬼求神","bài guǐ qiú shén","bai gui qiu shen","向鬼神叩拜祈祷，求其保佑。",""
"白圭之玷","bái guī zhī diàn","bai gui zhi dian","白玉上的一个斑点。比喻人或物大体很好，只是有些小缺点。",""
"白骨再肉","bái gǔ zài ròu","bai gu zai rou","白骨上再生出肉来。比喻起死回生。",""
"败鼓之皮","bài gǔ zhī pí","bai gu zhi pi","败：破旧。破鼓皮可作药材。比喻虽微贱，却是有用的东西。",""
"白黑不分","bái hēi bù fēn","bai hei bu fen","比喻清浊混乱，是非不明。",""
"白黑颠倒","bái hēi diān dǎo","bai hei dian dao","颠倒错乱。指白黑不分、是非颠倒。",""
"白黑分明","bái hēi fēn míng","bai hei fen ming","比喻是非分得清楚。",""
"白虹贯日","bái hóng guàn rì","bai hong guan ri","白色的长虹穿日而过。古人认为人间有不平凡的事，就会引起这种天象的变化。实际上这不是虹而是晕，是一种大气光学现象。",""
"白话八股","bái huà bā gǔ","bai hua ba gu","用白话写的类似旧时八股式的文章。比喻指应命而写的刻板文章。",""
"败化伤风","bài huà shāng fēng","bai hua shang feng","指败坏社会道德风气。",""
"白华之怨","bái huá zhī yuàn","bai hua zhi yuan","指女子失宠之哀怨。",""
"白驹过隙","bái jū guò xì","bai ju guo xi","白驹：白色骏马，比喻太阳；隙：缝隙。象小白马在细小的缝隙前跑过一样。形容时间过得极快。",""
"白袷蓝衫","bái jiá lán shān","bai jia lan shan","旧时士人的服装。亦借指尚未取得功名的士人。",""
"败将残兵","bài jiàng cán bīng","bai jiang can bing","指战败后剩余的兵将。同残兵败将”。",""
"拜将封侯","bài jiàng fēng hóu","bai jiang feng hou","拜为将领，封为列侯。古代形容功成名就，官至极品。",""
"白帢青衫","bái jiá qīng shān","bai jia qing shan","旧时士人的服装。亦借指尚未取得功名的士人。同白袷蓝衫”。",""
"败绩失据","bài jì shī jù","bai ji shi ju","指事业失败而无所凭依。",""
"白驹空谷","bái jū kōng gǔ","bai ju kong gu","白驹：白色骏马，比喻贤能者。比喻贤能之人在野而不能出仕。后也比喻贤能者出仕而谷空。",""
"败井颓垣","bài jǐng tuí yuán","bai jing tui yuan","犹言房毁墙坍。形容村舍荒凉。",""
"败军之将","bài jūn zhī jiàng","bai jun zhi jiang","打了败仗的将领。现多用于讽刺失败的人。",""
"白蜡明经","bái là míng jīng","bai la ming jing","白蜡：比喻光秃空白。明经：科举制度中科目之一。比喻屡试不中。",""
"白浪掀天","bái làng xiān tiān","bai lang xian tian","掀翻腾。形容风大浪高。",""
"败柳残花","bài liǔ cán huā","bai liu can hua","败：衰败。残：凋残。凋残的柳树，残败了的花。旧时用以比喻生活放荡或被蹂躏遗弃的女子。",""
